edate,AcquirorFullName,TargetName,gvkey_a,gvkey_t
5/13/1999,Emerson Electric Co,Daniel Industries Inc,4321,3736
8/15/2007,Thomas & Betts Corp,Lamson & Sessions Co,10540,6571
3/22/1999,Avery Dennison Corp,Stimsonite Corp,1913,29414
6/21/1999,National Service Industries Inc,Holophane,7773,29092
10-01-1999,Omnicom Group Inc,M/A/R/C Group,4066,6876
2/22/1999,United Technologies Corp,Sundstrand Corp,10983,10163
6/28/2000,Tyco International Ltd,Mallinckrodt Inc,10787,6096
8/14/2000,Chiron Corp,PathoGenesis Corp,3011,61601
05-08-2002,OpenTV Corp,ACTV Inc,126734,21507
2/18/2003,Andrew Corp,Allen Telecom Inc,1651,1281
3/24/2008,L-1 Identity Solutions Inc,Digimarc Corp,63959,127075
5/19/2005,Whirlpool Corp,Maytag Corp,11465,7139
11/18/2005,Cisco Systems Inc,Scientific Atlanta Inc,20779,9483
07-02-2001,Mentor Graphics Corp,IKOS Systems Inc,7251,22823
10/18/2001,EarthLink Inc,CIDCO Inc,62391,29822
5/23/2005,JDS Uniphase Corp,Acterna Corp,29241,4132
12/13/2004,3Com Corp,TippingPoint Technologies Inc,10553,133047
10/14/2003,EMC Corp,Documentum Inc,12053,62005
5/31/2001,Cantel Medical Corp,Minntech Corp,2942,9051
03-09-2005,Gardner Denver Inc,Thomas Industries Inc,30098,10541
4/16/2003,Crane Co,Signal Technology Corp,3580,28337
07-02-1999,International Business Machines Corp{IBM},Sequent Computer Systems Inc,6066,13315
1/23/2001,Solectron Corp,Centennial Technologies Inc,17110,30031
07-06-2000,The Shaw Group Inc,Stone & Webster Inc,29353,10092
7/16/2001,Sanmina Corp,SCI Systems Inc,28139,9313
12/21/2006,Motorola Inc,Tut Systems Inc,7585,117905
11-12-2002,Plug Power Inc,H Power Corp,125604,138487
12/23/2002,Yahoo! Inc,Inktomi Corp,62634,111488
5/24/1999,RadiSys Corp,Texas Micro Inc,61439,20969
10/30/2001,Digi International Inc,NetSilicon Inc,16710,122838
05-02-2006,Quantum Corp,Advanced Digital Information Corp,8867,63644
3/21/2001,Citrix Systems Inc,Sequoia Software Corp,61676,135024
05-10-2005,Sun Microsystems Inc,Tarantella Inc,12136,28325
8/20/2002,Microsoft Corp,Vicinity Corp,12141,129635
09-04-2001,Hewlett-Packard Co,Compaq Computer Corp,5606,3282
5/29/2002,Openwave Systems Inc,SignalSoft Corp,121257,134744
7/25/2006,Hewlett Packard Co,Mercury Interactive Corp,5606,29095
12/13/2002,Verso Technologies Inc,Clarent Corp,25976,121835
06-04-2003,Palm Inc,Handspring Inc,132502,137067
9/26/2005,Synopsys Inc,HPL Technologies Inc,24975,143869
6/29/2006,EMC Corp,RSA Security Inc,12053,31168
9/15/1999,Motorola Inc,General Instrument Corp,7585,5063
1/15/2001,Intel Corp,Xircom Inc,6008,25115
02-07-2001,Logitech International SA,Labtec Inc,102696,61684
1/17/2002,Western Multiplex Corp,Proxim Inc,138347,29436
5/20/2004,Tellabs Inc,Advanced Fibre Communications Inc,10420,63678
12/15/2000,NVIDIA Corp,3Dfx Interactive Inc,117768,64984
8/16/2001,Divine Inc,Open Market Inc,137572,62925
7/28/2005,Sybase Inc,Extended Systems Inc,24409,66582
12-10-2006,Trimble Navigation Ltd,At Road Inc,22815,140061
7/27/1999,International Business Machines Corp{IBM},Mylex Corp,6066,7640
5/15/2001,TriQuint Semiconductor Inc,Sawtek Inc,29386,62738
09-09-2004,Cisco Systems Inc,NetSolve Inc,20779,124359
5/16/2001,Credence Systems Corp,Integrated Measurement Systems Inc,29085,61048
5/23/2002,Symmetricom Inc,Datum Inc,9715,3798
8/28/2006,Corel Corp,InterVideo Inc,17080,146735
2/29/2000,24/7 Media Inc,Exactis.com Inc,113498,126616
5/24/2001,Polycom Inc,PictureTel Corp,62730,13608
09-02-2004,LeCroy Corp,Computer Access Technology Corp,61398,141098
12/21/2005,International Business Machines Corp{IBM},Micromuse Inc,6066,66468
02-07-2000,Lucent Technologies Inc,Ortel Corp,62599,30844
11-10-2000,Cisco Systems Inc,Active Voice Corp,20779,29396
07-02-2001,RadiSys Corp,Microware Systems Corp,61439,62581
7/14/2003,Yahoo! Inc,Overture Services Inc,62634,121436
11/27/2000,Agilent Technologies Inc,Objective Systems Integrators Inc,126554,61642
10/24/2001,Brooks Automation Inc,PRI Automation Inc,31477,30781
11/16/2005,Nokia Oyj,Intellisync Corp,23671,64099
12/19/2006,Telefonaktiebolaget LM Ericsson,Redback Networks Inc,4439,120595
6/27/2007,CommScope Inc,Andrew Corp,65142,1651
1/13/2003,Motorola Inc,Next Level Communications Inc,7585,126298
11-04-1999,JDS Uniphase Corp,Optical Coating Laboratory Inc,29241,8163
08-02-2001,Teradyne Inc,GenRad Inc,10453,5122
04-12-2006,Oracle Corp,Portal Software Inc,12142,120300
4/21/2008,Blue Coat Systems Inc,Packeteer Inc,126615,122360
04-08-2004,Teledyne Technologies Inc,Isco Inc,126721,11722
12/20/2005,Seagate Technology Inc,Maxtor Corp,150937,7123
11/26/2002,Level 3 Communications Inc,Genuity Inc,13440,137357
5/29/2008,Blackbaud Inc,Kintera Inc,260893,156615
04-07-2003,Computer Network Technology Corp,INRANGE Technologies Corp,12718,3769
5/19/2004,Cardinal Health Inc,ALARIS Medical Systems Inc,2751,15315
