,DealNumber,AcquirorCUSIP,TargetCUSIP,TargetPublicStatus,ofSharesAcq,seekingtoownaftertrans,PercentofSharesHeldatAnnoun,OwnedAfterTransaction,edate,AcquirorFullName,TargetName,AcquirorPrimarySICCode,TargetPrimarySICCode,ValueofTransactionmil,Form,ConsiderationStructure,ConsidStructureDescription,NumberofBidders,Attitude,SharePricePaidbyAcquirorfort,OfferPricetoTargetStockPricet,Z,dealno,carwindow1_acq,carwindow2_acq,carwindow3_acq,carwindow4_acq,carwindow5_acq,carwindow6_acq,carwindow5_tar,carwindow4_tar,carwindow3_tar,carwindow2_tar,carwindow1_tar,acqprem1,acqprem2,gvkey_a,cusip8_comp_a,datadate_compu_a,cusip_compu_a,conm_compu_a,at_a,intan_a,re_a,sale_a,xad_a,xrd_a,costat_compu_a,sic_compu_a,ipodate_compu_a,ebit_ta_a,mktcap_a,dep_ta_a,rd_ta_a,mdr_a,fa_ta_a,mb_a,bdr_a,abs_a,unabs_a,pot_a,gvkey_t,cusip8_comp_t,datadate_compu_t,cusip_compu_t,conm_compu_t,at_t,re_t,sale_t,xad_t,xrd_t,costat_compu_t,ebit_ta_t,mktcap_t,dep_ta_t,rd_ta_t,mdr_t,fa_ta_t,mb_t,bdr_t,abs_t,unabs_t,pot_t,R,Acq Density,Target Density,TNIC 3 years avg,TNIC > 3 years avg
0,11843020,148877,11240,Sub.,20.2,100,79.8,100,07-08-1987,Catalyst Energy Corp,Alamito Co,4911,4911,49.2,Acq. Rem. Int.,UNKNOWN,Unknown,1,Friendly,496,,,11843020,0.001817961,-0.003466799,-0.012127751,-0.02853894,-0.036333166,-0.034287315,,,,,,,,2816,14887710,9861,148877103,CATALYST ENERGY CORP,715.644,0,9.252,227.309,,,I,4911,,0.079742163,407.7449951,0.03650558,0,0.481730372,0.649947464,1.099349737,0.52959013,,1.358043551,0.481730372,1227,1124010,9496,11240108,ALAMITO CO,830.654,32.913,269.823,,,I,0.115282662,268.1350098,0.027655317,0,0.681562722,0.89635998,1.013700008,0.690900147,,0.373530805,0.681562722,,,,,
1,12014020,878690,55911,Public,100,100,,100,08-07-1987,Technology for Communications International Inc,BR Communications,3663,3669,31.5,Merger,CASHO,Cash Only,1,Friendly,7.75,24,29.17,12014020,0.013259294,-0.01638595,-0.03964531,-0.019579617,-0.02192555,-0.014477264,0.23012571,0.203490764,0.261915058,0.285907477,0.286798209,1.24000001,1.24000001,10379,87229310,9769,872293105,TCI INTL INC,42.427,0,16.266,41.092,,0.382,I,3812,,0.106253095,45.73474884,0.019209465,0.009003701,0.022652114,0.117283806,1.102947354,0.02498409,0.185413226,0.181300238,0.022652114,1960,5591110,9861,55911101,BR COMMUNICATIONS,29.179,14.276,10.462,0.125,1.907,I,-0.011001063,28.26600075,0.033140272,0.065355219,0,0.071078517,0.968710423,0,0.601796985,8.722860336,0,,,,,
2,12026020,126408,59003,Sub.,2,100,98,100,03-11-1987,CSX Corp,Baltimore & Ohio Railroad Co (CSX Corp),4011,4011,6,Acq. Rem. Int.,CASHO,Cash Only,1,Friendly,124,,,12026020,0.015529564,0.0164744,0.019019198,0.030167408,0.010104908,0.026336743,,,,,,,,2574,12640810,9496,126408103,CSX CORP,11494,0,2741,7320,,,A,4011,,-0.001044023,4610.069824,0.035583783,0,0.369956821,0.79232645,0.637469113,0.235514179,,0.095799178,0.369956821,1993,5900310,9496,59003103,BALTIMORE & OHIO RAILROAD CO,2107.897,585.684,1064.375,,,I,-0.039255239,,0.031223062,0,1,0.816352487,0.254310817,0.225860655,,0.051917356,1,,,,,
3,12049020,212479,68281,Public,60,100,40,100,2/27/1987,Convergent Inc,BaronData Systems,3571,7372,31.5,Merger,CASHO,Cash Only,1,Friendly,15,50,50,12049020,0.044298142,0.050642721,0.055944495,0.052777834,0.035008412,0.001623478,0.453928709,0.425948858,0.472156256,0.478760421,0.427773476,1.5,1.5,3485,21247910,9496,212479109,CONVERGENT INC,277.426,0,24.881,395.167,5.885,28.355,I,3571,,0.069488801,431.7631226,0.057312582,0.102207437,0,0.104986556,1.556318164,0,0.175786436,1.755914211,0,2053,6828110,9586,68281104,BARON DATA SYSTEMS,44.39,7.903,20.697,0.277,1.989,I,0.056927238,41.85599899,0.013899527,0.044807389,0,0.061094843,0.942915022,0,0.575977206,3.261476517,0,,,,,
4,12898020,243440,243440,Public,100,100,,100,2/23/1987,Decision/Capital Fund,Decision/Capital Fund,6726,6726,14,Merger,OTHER,Other,1,Friendly,,,,12898020,0.067789927,0.061872087,0.049464691,0.045359276,0.038164645,0.041171201,0.038164645,0.045359276,0.049464691,0.061872087,0.067789927,,,14722,44026310,9861,440263101,HOPPER SOLIDAY CORP,,,,,,,I,6211,,,,,,,,,,,,,14722,44026310,9861,440263101,HOPPER SOLIDAY CORP,,,,,,I,,,,,,,,,,,,,,,,
5,12993020,233202,475775,Public,100,100,,100,6/17/1986,DEP Corp,Jeffrey Martin Inc,2844,2834,73,Merger,CASHO,Cash Only,1,Friendly,7.3,42.44,53.68,12993020,0.033993889,0.0209956,0.090789646,0.00560418,-0.003862176,-0.039286859,0.237001047,0.269399136,0.219618365,0.201812893,0.204060987,1.424390197,1.424390197,3693,23320240,9343,233202407,DEP CORP,19.027,2.315,6.575,27.173,2.136,,I,2844,,0.203184947,25.22999573,0.032848056,0,0.109644651,0.412676722,1.489304423,0.163294271,0.48393625,0.162083462,0.109644651,6245,47577510,9343,475775102,JEFFREY MARTIN INC,35.146,26.792,62.177,28.154,,I,0.22153303,56.38499832,0.034626983,0,0,0.038240481,1.604307652,0,0.706113219,1.251449227,0,,,,,
6,13343020,194846,639068,Public,8.09,100,91.9,100,1/20/1987,Collins Foods International Inc,Naugles Inc,5812,5812,10,Acq. Rem. Int.,SHARES,Stock Only,1,Friendly,4.56,,,13343020,-0.030819932,-0.062190738,-0.037107579,-0.049327929,-0.046227612,-0.029943475,,,,,,,,23769,98160A10,9616,98160A107,WORLDWIDE RESTAURANT CONCEPT,411.576,,89.7,535.671,16.297,,I,5812,,0.058023307,332.9565125,0.032288082,0,0.366151482,0.591421783,1.276297688,0.467318326,0.019071408,0.370398849,0.366151482,7800,63906810,9677,639068105,NAUGLES INC,67.631,-38.169,125.117,,0,I,-0.319306225,20.48875046,0.094335437,0,0.777104199,0.890893221,1.359151125,1.056202054,0.087821797,0.097637966,0.777104199,,,,,
7,13504020,216669,736245,Public,100,100,,100,12/30/1986,Cooper Industries Inc,HK Porter Co Inc,3648,3612,7.4,Merger,CASHO,Cash Only,1,Friendly,,,,13504020,-0.002659801,0.013901426,0.001802447,-0.010952763,0.00739663,0.006491587,,,,,,,,3497,G2414010,9496,G24140108,COOPER INDUSTRIES PLC,3635.873,863.464,889.153,3061.802,,24.111,I,3640,,0.097883232,1892.813965,0.023884222,0.00663142,0.404123783,0.267675728,0.874775052,0.353067368,0.174560934,0.007763898,0.404123783,8683,73624510,9496,736245101,PORTER (H.K.) INC-DEL,123.88,70.597,139.443,1.435,,I,0.151170477,48.95999908,0.03572005,0,0.126572117,0.180908948,0.489086211,0.057273168,0.098907799,2.419673443,0.126572117,,,,,
8,13659020,43147,803701,Public,100,100,,100,10/14/1986,ARTRA Group Inc,Sargent-Welch Scientific Co,2673,3821,98.52,Merger,CASHO,Cash Only,1,Friendly,42,15.86,9.09,13659020,0.063012376,0.063804045,0.04720002,0.044669151,0.036859475,0.034964148,0.089095026,0.088416383,0.087711327,0.088901199,0.086646214,1.158620715,1.158620715,1781,29382L10,9496,29382L100,ENTRADE INC,74.258,25.761,3.693,60.351,,,I,7370,,0.075884081,58.69725037,0.024455277,0,0.388329774,0.073338896,1.334795594,0.501831472,0.494043171,0.590729415,0.388329774,9416,80370110,9496,803701101,SARGENT-WELCH SCIENTIFIC,68.252,54.414,82.212,,0.975,I,0.151292279,95.01300049,0.012600363,0.014285296,0,0.108084746,1.392091036,0,0.254232973,4.456027985,0,,,,,
9,13801020,880329,852376,Public,100,100,,100,8/28/1986,Tender Loving Care Health Care Services Inc(Staff Builders Inc),Staff Builders Inc,7363,8742,40.55,Merger,SHARES,Stock Only,3,Friendly,12.8,23.37,31.28,13801020,-0.072295904,-0.111547157,-0.14692612,-0.225678384,-0.168504685,-0.135133222,0.062979415,0.085171983,0.110912919,0.14344947,0.109907568,1.233734965,1.233734965,10439,00209C10,9465,00209C102,ATC HEALTHCARE INC  -CL A,6.098,1.123,-1.433,16.542,0.425,,I,7363,,0.031813711,5.959750175,0.036077403,0,0.179295629,0.120695308,1.19100523,0.213512629,0.379700154,0.31019038,0.179295629,9973,85237610,9555,852376102,STAFF BUILDERS INC-OLD,25.005,4.161,87.882,2.17,,I,-0.163687259,29.57225037,0.070745848,0,0.092102937,0.049230155,1.302629471,0.119976006,0.320247591,0.069725864,0.092102937,,,,,
