,name,cusip,firstyr,gvkey,lastyr,pdpco,pdpseq,begyr,endyr,match
0,A & E PLASTIK PAK INC,32,1961,1000,1977,1000,1,1961,1977,1
1,A & M FOOD SERVICES INC,165,1983,1001,1985,1001,1,1983,1985,
2,AAI CORP,352,1960,1002,1972,1002,1,1960,1972,
3,A.A. IMPORTING CO INC,354,1982,1003,1989,1003,1,1982,1989,
4,AAR CORP,361,1965,1004,2005,1004,1,1965,2005,1
5,A.B.A. INDUSTRIES INC,370,1974,1005,1981,1005,1,1974,1981,
6,ABC INDS INC,736,1974,1006,1982,1006,1,1974,1982,
7,ABKCO INDUSTRIES INC,774,1974,1007,1984,1007,1,1974,1984,0
8,ABM COMPUTER SYSTEMS INC,775,1983,1008,1985,1008,1,1983,1985,
9,ABS INDUSTRIES INC,781,1981,1009,1994,1009,1,1981,1994,
10,ACF INDUSTRIES HOLDING CORP,00099Y,1950,1010,2003,1010,1,1950,2003,1
11,ACS ENTERPRISES INC,872,1982,1011,1994,1011,1,1982,1994,
12,ACS INDUSTRIES INC,874,1974,1012,1989,1012,1,1974,1989,1
13,ADC TELECOMMUNICATIONS INC,886,1974,1013,2006,1013,1,1974,2006,1
14,ADDSCO INDUSTRIES INC,887,1974,1014,1992,1014,1,1974,1992,0
15,ADI ELECTRONICS INC,893,1982,1015,1987,1015,1,1982,1987,
16,AEC INC,1015,1974,1016,1987,1016,1,1974,1987,1
17,AEL INDUSTRIES  -CL A,1030,1960,1017,1994,1017,1,1960,1994,1
18,AES TECHNOLOGY SYSTEMS INC,1032,1974,1018,1987,1018,1,1974,1987,1
19,AFA PROTECTIVE SYSTEMS INC,1038,1970,1019,2001,1019,1,1970,2001,
20,AFG INDUSTRIES INC,1054,1962,1020,1989,1020,1,1962,1989,1
21,AFP IMAGING CORP,1058,1980,1021,2006,1021,1,1980,2006,1
22,AGM INDUSTRIES INC,1220,1974,1022,1982,1022,1,1974,1982,1
23,AGS COMPUTERS INC,1240,1981,1023,1987,1023,1,1981,1987,
24,A I A INDUSTRIES INC,1320,1983,1024,1983,1024,1,1983,1983,
25,A I C INTL INC,1348,1973,1025,1995,1025,1,1973,1995,
26,AID INC-DEL CL A,1360,1966,1026,1976,1026,1,1966,1976,
27,A I M COS,1412,1960,1027,1969,1027,1,1960,1969,
28,AIM TELEPHONES INC,1423,1981,1028,1990,1028,1,1981,1990,
29,A.I.N. LEASING CORP,1425,1982,1029,1983,1029,1,1982,1983,
30,A I T S INC,1444,1973,1030,1984,1030,1,1973,1984,
31,A J INDS INC,1476,1960,1031,1975,1031,1,1960,1975,
32,AKF FOODS INC,1545,1974,1032,1982,1032,1,1974,1982,
33,A L D INC,1604,1974,1033,1993,1033,1,1974,1993,1
34,ALPHARMA INC  -CL A,20813,1983,1034,2006,1034,1,1983,2006,1
35,UNITED DOMINION INDUSTRIES,909914,1978,1036,2000,1036,1,1978,2000,1
36,AM COMMUNICATIONS INC,1674,1979,1037,2001,1037,1,1979,2001,
37,AMC ENTERTAINMENT INC -OLD,1669,1982,1038,2003,164271,1,1982,2003,
38,AMC INVESTORS INC,1670,1965,1039,1978,1039,1,1965,1978,
39,AMF INC,1688,1950,1040,1984,1040,1,1950,1984,1
40,AMI INDUSTRIES INC,1715,1960,1041,1972,1041,1,1960,1972,1
41,AMI SYSTEMS INC,1719,1981,1042,1984,1042,1,1981,1984,
42,MULTIGRAPHICS INC,625440,1950,1043,1999,1043,1,1950,1999,1
