gvkey,den,connections
2598,0,[]
2846,0,[]
3172,55,"[7257, 4675, 3172]"
3736,2,"[3736, 4321]"
3760,44,"[7585, 2504, 3760, 6066, 12053, 6008]"
5063,98,"[2504, 7585, 7980, 5063]"
5693,0,[]
5846,0,[]
6638,0,[]
6876,0,[]
7049,0,[]
7640,0,[]
8163,0,[]
8960,0,[]
9120,0,[]
10010,0,[]
10163,0,[]
11040,0,[]
11058,0,[]
11288,243,"[61731, 2086, 8530, 29955, 12053, 11288, 6266]"
11803,0,[]
12537,0,[]
13096,0,[]
13308,0,[]
13315,0,[]
14160,0,[]
16419,0,[]
17764,0,[]
20192,0,[]
20903,0,[]
20907,0,[]
20969,6,[]
20982,0,[]
22170,0,[]
23076,0,[]
23897,0,[]
24093,0,[]
24140,0,[]
24338,0,[]
24345,0,[]
24680,0,[]
24997,0,[]
25271,0,[]
27940,0,[]
28125,0,[]
29092,0,[]
29350,0,[]
29414,0,[]
29650,10,[29650]
29879,0,[]
30034,12,"[6008, 30034]"
30203,0,[]
30368,0,[]
30742,0,[]
30750,0,[]
31319,0,[]
31465,0,[]
31586,0,[]
31666,0,[]
31722,0,[]
60822,0,[]
60958,0,[]
61087,0,[]
61132,76,"[4321, 10530, 2504, 61132, 13197, 3760, 6066, 12053]"
61180,0,[]
61365,0,[]
61500,231,"[10787, 2086]"
61532,0,[]
61603,0,[]
61606,0,[]
61724,0,[]
61731,58,"[29955, 11288, 6266, 61731, 8530]"
62192,0,[]
62294,0,[]
62300,0,[]
62321,0,[]
62366,0,[]
62372,0,[]
62390,0,[]
62456,0,[]
62593,0,[]
62633,0,[]
62753,0,[]
62833,7,[6266]
62838,0,[]
62880,0,[]
63003,115,"[6266, 10787, 2086]"
63021,0,[]
63073,0,[]
63462,0,[]
63481,0,[]
63489,0,[]
63589,0,[]
63652,0,[]
63754,0,[]
63878,0,[]
64002,0,[]
64007,0,[]
64128,0,[]
64281,0,[]
64320,0,[]
64914,0,[]
64936,0,[]
64996,0,[]
65267,0,[]
65295,0,[]
65766,0,[]
65988,0,[]
66021,0,[]
66056,0,[]
66590,0,[]
110104,0,[]
110480,0,[]
110773,0,[]
111591,0,[]
111968,0,[]
112625,0,[]
113364,0,[]
119016,0,[]
120215,0,[]
121615,0,[]
121760,0,[]
134144,0,[]
2267,44,"[11288, 6066, 2267, 8530, 6266]"
2891,0,[]
3291,0,[]
4374,0,[]
4806,0,[]
5721,0,[]
6035,0,[]
6096,22,"[6096, 10787, 2086]"
7503,0,[]
7718,0,[]
8658,3,[]
9545,0,[]
9804,0,[]
10071,0,[]
10092,0,[]
10422,58,"[10232, 10422]"
10537,0,[]
12337,0,[]
12397,100,"[6266, 7435, 8530, 12397, 4245]"
13197,89,"[4321, 10530, 8530, 2504, 9899, 61132, 13197, 3760, 6066, 12053]"
14290,0,[]
15248,0,[]
24543,0,[]
24845,0,[]
24908,42,[]
25004,0,[]
25441,0,[]
25864,0,[]
28147,0,[]
28756,0,[]
28848,0,[]
29396,0,[]
29643,0,[]
30131,0,[]
30639,0,[]
30844,0,[]
31679,0,[]
31757,0,[]
60933,0,[]
60955,0,[]
61370,0,[]
61508,0,[]
61601,0,[]
61642,0,[]
62284,0,[]
62338,0,[]
62433,0,[]
62535,0,[]
62550,0,[]
62690,0,[]
62932,0,[]
63013,0,[]
63140,0,[]
63201,0,[]
63509,0,[]
63594,0,[]
63744,0,[]
63827,0,[]
64299,0,[]
64415,0,[]
